公司,年份,Gross_Margin,Operating_Margin,Net_Margin,ROA,ROE,EPS,Current_Ratio,Quick_Ratio,Debt_Ratio,Equity_Ratio,Interest_Coverage,Inventory_Turnover,AR_Turnover,Asset_Turnover,OCF_Ratio,Free_Cash_Flow,Revenue_Growth,EPS_Growth,Market_Cap,PE,PB,Dividend_Yield,BVPS,X1,X2,X3,X4,X5,Altman_Zscore
三芳,2015,26.99120541574636,11.907748071914236,9.768707746014556,7.830300855606824,13.010440567401652,2.85,2.2576879943507753,1.7871599966030198,39.815252104328756,60.184747895671244,35.465593854341876,5.088830841635045,7.642581884329067,0.801569773525207,0.7199122950905493,1716010,,,14966451,10.87,1.77,5.16,21.92,0.30738731420434706,0.28393873420687193,0.10041843472742389,2.671976001144027,0.801569773525207,3.5025152137469595
三芳,2016,29.49153051811847,14.223920457132841,11.262093714695027,8.493532840502109,14.323434836079683,3.13,2.2410991003563763,1.8880477358015741,41.52110874259249,58.47889125740752,48.99707301883855,5.15885155071918,7.245979627950151,0.7541699665861918,0.5977152331810878,1589350,-2.0474435598889396,9.824561403508758,14062866,9.16,1.58,6.22,22.38,0.3236135906186957,0.2930351780519444,0.10335762639533265,2.2246892713998068,0.7255350136758906,3.2000143016355294
三芳,2017,29.46342369199283,12.571632376510028,9.142846706181563,6.08323464488073,10.42656386597261,2.27,2.2959650365803013,1.7628192623142112,41.79939575562283,58.200604244377175,35.72861722719574,4.367423394036755,6.866766534863872,0.6653545487936267,0.3502445668109613,309310,-10.776683849495694,-27.47603833865815,13486030,11.66,1.61,5.01,21.07,0.30079032597891103,0.31126640904869357,0.08203611160840586,2.240513599136359,0.6843932841180506,3.0961419757504696
三芳,2018,20.3103159837594,4.010393731313723,3.1913685465842696,2.0948026961302095,3.650327776739474,0.76,2.0974781522289008,1.544041421466819,43.42036004442299,56.579639955577,11.863029994052171,3.943453384805065,6.561366485344644,0.6563963596032437,0.030514417293101434,-679311,-3.6842406995993504,-66.51982378854626,9468068,22.19,1.15,2.1,20.65,0.28054576824681204,0.28444600159975675,0.02884189511677563,1.5015344309299916,0.653637518482038,2.3846157550612266
三芳,2019,23.048177119969203,6.338856462855979,4.190466139462242,2.9025284980291675,5.223322458793918,1.08,2.1676322234760046,1.6333524000686404,45.4013858682349,54.59861413176511,15.94985181900917,3.8467844414280727,6.841645979136845,0.6926505074687577,0.34984685944869404,558542,8.208277059414716,42.10526315789473,9408396,14.8,1.14,3.38,20.77,0.2967003127826237,0.28782125823801963,0.0451569631247105,1.3690941745224743,0.678604837411241,2.4080694573086463
三芳,2020,22.076816719175486,5.903404457555987,2.582543252849289,1.4306676256424524,2.701978675249397,0.55,2.3793048319920795,1.9547641260526138,48.67881515862608,51.32118484137392,8.229016610318977,3.6009515191625843,6.534711530050711,0.5539762495996976,0.4613514196096303,1216911,-17.813083324189826,-49.07407407407407,9010578,23.94,1.14,2.21,19.79,0.33855808486718075,0.27810220124791984,0.02554441271297902,1.2065966742651046,0.5502781488087164,2.154145498908315
三芳,2021,17.583954784388897,2.874508573287212,1.3827874905161697,0.7708053380927486,1.4935791158389884,0.29,2.37810332458388,1.6769455225843244,48.09362775071595,51.90637224928405,4.039229123834445,3.3976542610405973,6.836241016433384,0.5574286312100067,-0.13777576823738377,-755456,-0.6840875287084769,-47.27272727272728,8294505,55.45,1.08,2.4,19.23,0.3291884996570923,0.2835128106513673,0.01319534980624645,1.1700434909748927,0.5687883617206023,2.1063032451665764
三芳,2022,16.11095053755289,2.7252383263100595,4.3676689150990775,3.1195182163390136,5.82785059378215,1.18,2.3471390133092047,1.8036031020782435,44.92032168726725,55.07967831273275,11.542947718900539,3.949992727240912,8.114631669495058,0.7142295528754038,0.4081147459848442,1021596,28.38132172361021,306.8965517241379,8155269,11.85,0.96,3.9,21.32,0.33846994003266223,0.28949431982363694,0.04232200544803426,1.178890049831217,0.6989262372524765,2.357378860922006
三芳,2023,25.04008234180016,9.785871266978734,7.537363920300878,4.900090138832364,8.726095170716459,1.91,2.4415424524026816,2.016064424205763,42.78667013072956,57.21332986927044,14.945455531012426,4.0672102875930065,7.478220512079122,0.6501066142812382,0.5660152619143469,1497798,-6.28757432875685,61.86440677966103,10283595,9.4,1.15,5.8,22.48,0.35004268128960125,0.3134866029755925,0.07055671717387231,1.5376253070437496,0.6453045047553347,2.659649317368714
三芳,2024,30.600477447586798,14.475795611467426,13.723807313330404,8.966563714564613,15.380990113771245,3.72,2.4088078963141415,1.97908314212917,40.72880510193283,59.27119489806717,25.88160634474344,4.505926675460311,7.683728794108664,0.6533583217723468,0.5771507854466317,1338147,6.8712614268877426,94.7643979057592,14659593,7.22,1.42,7.33,25.88,0.3219720459610639,0.33406309886520713,0.11236679072795867,2.0724778050691444,0.6206992690022618,3.0890511550105786
三芳,2025,31.642358170542366,14.260722409725139,10.469819397106392,6.5109740162509695,11.118588606329908,2.85,2.0239594617206973,1.6368536817353168,42.1505598014495,57.8494401985505,19.40282716049383,4.268596555197473,7.225342345405921,0.6218802607092198,0.33656569526275465,710123,0.325803153335924,-23.38709677419355,12849521,8.33,1.28,6.81,25.32,0.26706356475544973,0.3374206467017453,0.09024980174237017,1.7505713410298676,0.6210412645764579,2.762073598033183
中石化,2015,-1.6936729036689295,-6.858087409788846,0.36523557983552146,0.126105535513042,0.17937393013761796,0.04,2.864006862218942,2.5005826179979045,29.696843116336797,70.3031568836632,1.7534139907406427,13.864986402936987,15.911550232778554,0.3452717710849304,0.09283356182769473,-564591,,,18397513,,0.35,0.0,22.86,0.1298880415542761,0.4102856290181363,0.004369531526601686,0.8177840967053737,0.3452717710849304,1.5806272136364623
中石化,2016,-0.35458140845279107,-5.497479713956312,-7.367869945808127,-2.4567638981673667,-3.584564303661966,-0.81,1.5370907626697545,1.3859847047238696,33.21236150316136,66.78763849683864,-6.892209701126899,14.554679067864152,14.01425465815356,0.33344289682598394,0.02503256962722531,-944707,-2.9794775538074525,-2125.0,22967891,,0.45,0.0,21.9,0.07350133440777427,0.38090931997946775,-0.020606873836615438,0.9045112317963199,0.33191544100985065,1.4280941456873955
中石化,2017,16.111782557999664,10.751257575525775,18.27352256436516,7.706848675128716,10.723696292946663,2.55,4.4414158100327255,3.9036397915080725,23.37467119512487,76.62532880487514,34.42455523947011,14.48172575452435,12.066614024193699,0.42174948196127726,0.8258146087216467,1002455,31.364568017025718,-414.8148148148148,41442805,9.56,0.67,0.0,23.08,0.17882685262681283,0.4315855304293966,0.07945877296488893,2.1719977373759733,0.4083841077970367,2.792608666760085
中石化,2018,13.443486827989867,7.986578542555031,11.14265256574915,5.008079136043084,6.613681246856337,1.59,2.887610601150766,2.5879546824909805,25.09805645739476,74.90194354260524,59.81772221942754,14.730395029839174,12.45312135634225,0.44945125108155765,0.8383011342731858,2230764,15.500226932049666,-37.6470588235294,29563434,6.85,0.44,9.13,24.78,0.15756690539075469,0.45008263423221867,0.05302344840397555,1.3131016869353564,0.42921956127417443,2.2112539275625194
中石化,2019,5.494108950639975,-1.380700452813848,5.868361746354167,1.8675585117284503,2.5872737905167096,0.61,2.744029895053637,1.6341009845778414,30.346308934658357,69.65369106534165,14.267017421453948,4.687061046024467,13.649734565018612,0.3182418863132811,-0.9613338102911932,-13702928,-23.060538391160545,-61.63522012578617,27781530,53.03,0.41,3.55,23.68,0.15803564459234307,0.4084933743650388,0.02077290729853862,0.9489969231374639,0.3070857022847564,1.706567947874278
中石化,2020,0.21741341056510424,-10.310348145820997,3.8729763798085113,0.6763274804735838,0.9864981210057996,0.21,3.096473249833055,1.6486693443390867,32.448729620506114,67.55127037949389,1.4680814595972125,1.5687175359794123,9.933394685833957,0.17462731866880712,-0.47323520179818146,-8001953,-40.64597553599445,-65.57377049180329,38268503,,0.54,0.0,21.56,0.17482390380553844,0.373661135607772,0.003102478610473607,1.1241568970810405,0.167601693604203,1.5852482856849173
